iter	Passed	Remaining
590	3187	2205
591	3192	2200
592	3197	2194
593	3202	2189
594	3207	2183
595	3213	2178
596	3218	2172
597	3223	2167
598	3230	2162
599	3235	2156
600	3240	2151
601	3245	2145
602	3250	2140
603	3255	2134
604	3262	2130
605	3267	2124
606	3272	2118
607	3277	2113
608	3282	2107
609	3287	2102
610	3293	2096
611	3298	2091
612	3304	2085
613	3309	2080
614	3314	2074
615	3320	2069
616	3325	2064
617	3330	2058
618	3335	2053
619	3341	2047
620	3346	2042
621	3351	2036
622	3357	2031
623	3362	2026
624	3369	2021
625	3375	2016
626	3380	2010
627	3385	2005
628	3391	2000
629	3396	1994
630	3401	1989
631	3406	1983
632	3411	1978
633	3417	1972
634	3422	1967
635	3427	1961
636	3432	1956
637	3438	1950
638	3443	1945
639	3449	1940
640	3455	1935
641	3460	1929
642	3467	1925
643	3472	1919
644	3478	1914
645	3483	1908
646	3488	1903
647	3493	1897
648	3498	1892
649	3504	1887
650	3509	1881
651	3514	1875
652	3520	1870
653	3524	1864
654	3530	1859
655	3535	1853
656	3540	1848
657	3545	1842
658	3550	1837
659	3555	1831
660	3560	1826
661	3566	1820
662	3571	1815
663	3576	1809
664	3581	1804
665	3586	1798
666	3591	1792
667	3596	1787
668	3601	1781
669	3606	1776
670	3611	1770
671	3616	1765
672	3621	1759
673	3626	1754
674	3631	1748
675	3636	1742
676	3641	1737
677	3647	1732
678	3652	1726
679	3657	1721
680	3663	1716
681	3668	1710
682	3673	1704
683	3679	1699
684	3684	1694
685	3688	1688
686	3694	1683
687	3699	1677
688	3704	1672
689	3710	1666
690	3715	1661
691	3719	1655
692	3725	1650
693	3730	1644
694	3735	1639
695	3740	1633
696	3747	1628
697	3751	1623
698	3757	1618
699	3762	1612
700	3767	1607
701	3772	1601
702	3779	1596
703	3784	1591
704	3790	1585
705	3794	1580
706	3799	1574
707	3805	1569
708	3810	1564
709	3815	1558
710	3821	1553
711	3825	1547
712	3831	1542
713	3836	1536
714	3841	1531
715	3846	1525
716	3851	1520
717	3857	1514
718	3862	1509
719	3867	1503
720	3872	1498
721	3879	1493
722	3886	1489
723	3892	1483
724	3897	1478
725	3903	1473
726	3908	1467
727	3913	1462
728	3918	1456
729	3923	1451
730	3928	1445
731	3934	1440
732	3939	1435
733	3944	1429
734	3949	1424
735	3956	1419
736	3961	1413
737	3966	1408
738	3971	1402
739	3976	1397
740	3982	1391
741	3987	1386
742	3992	1380
743	3997	1375
744	4002	1370
745	4007	1364
746	4012	1359
747	4018	1353
748	4023	1348
749	4028	1342
750	4034	1337
751	4039	1332
752	4044	1326
753	4049	1321
754	4054	1315
755	4059	1310
756	4065	1305
757	4070	1299
758	4075	1294
759	4081	1288
760	4086	1283
761	4090	1277
762	4096	1272
763	4101	1266
764	4106	1261
765	4111	1255
766	4116	1250
767	4121	1245
768	4127	1239
769	4132	1234
770	4137	1228
771	4142	1223
772	4148	1218
773	4152	1212
774	4158	1207
775	4163	1201
776	4168	1196
777	4173	1190
778	4178	1185
779	4183	1179
780	4188	1174
781	4193	1168
782	4198	1163
783	4204	1158
784	4209	1152
785	4213	1147
786	4219	1142
787	4224	1136
788	4229	1131
789	4235	1125
790	4240	1120
791	4245	1114
792	4251	1109
